  plus kinetic    876.53   878.33   829.71     0.48     0.59    -0.08 861.52
  plus kinetic    873.80   878.26   828.37     0.41     0.17    -0.90 860.14
  plus kinetic    876.56   881.08   830.97     1.38    -0.65    -2.20 862.87
  plus kinetic    877.30   877.40   831.23     0.03     0.18    -0.59 861.98
  plus kinetic    878.72   875.01   828.92    -1.78     1.06     0.47 860.88
  plus kinetic    878.12   874.76   827.81    -1.37     0.82     0.85 860.23
  plus kinetic    876.10   875.81   832.70     0.04     1.72     0.24 861.54
  plus kinetic    875.62   873.78   831.81    -0.18     1.03    -1.03 860.40
  plus kinetic    878.84   872.95   830.32    -0.13    -1.71    -1.19 860.70
  plus kinetic    879.89   873.86   829.78    -1.34    -0.71     0.31 861.18
  plus kinetic    878.80   873.63   830.95    -1.83     2.01    -0.92 861.13
  plus kinetic    876.37   874.63   831.31    -0.53     1.83    -1.59 860.77
  plus kinetic    876.79   878.83   831.41    -0.42    -0.46    -1.76 862.34
  plus kinetic    876.90   876.54   830.49    -0.18     0.46     0.19 861.31
  plus kinetic    877.08   874.53   829.45     0.95     1.69     0.85 860.35
  plus kinetic    876.79   875.85   828.49     0.78    -0.33    -1.90 860.38
  plus kinetic    875.26   877.92   828.46     2.35    -0.33    -0.78 860.55
  plus kinetic    875.11   880.35   828.75     3.63     0.71    -0.75 861.40
  plus kinetic    873.55   882.42   830.19     2.25    -1.10    -0.05 862.05
  plus kinetic    872.44   880.95   832.37     0.70    -1.51     0.57 861.92
  plus kinetic    874.84   880.14   831.05    -0.54    -0.41     0.52 862.01
  plus kinetic    877.05   879.86   830.83    -0.17     0.90    -0.37 862.58
  plus kinetic    875.15   876.87   828.19     0.67     0.27     0.18 860.07
  plus kinetic    874.27   878.98   827.67    -0.94    -0.65     0.27 860.31
  plus kinetic    872.26   879.50   828.12    -1.91    -1.97    -0.83 859.96
  plus kinetic    874.88   878.44   829.59    -0.17    -1.95    -1.21 860.97
  plus kinetic    875.20   880.54   830.62     0.38     0.39    -1.38 862.12
  plus kinetic    875.84   877.42   832.93     0.36     1.73    -1.16 862.06
  plus kinetic    875.64   876.26   832.52     0.32     1.34    -0.38 861.47
  plus kinetic    875.09   877.65   832.85     0.65     1.06    -0.48 861.86
  plus kinetic    873.76   879.80   832.51     0.43    -0.64     0.10 862.02
  plus kinetic    872.51   877.37   830.28    -0.91    -1.30     1.96 860.05
  plus kinetic    876.21   878.28   827.93    -2.19     1.12     0.84 860.81
  plus kinetic    873.65   879.35   828.02    -1.56     1.47    -0.45 860.34
  plus kinetic    872.82   878.72   829.02    -1.43    -0.95    -1.14 860.19
  plus kinetic    874.79   879.04   825.60    -2.16    -0.96    -2.90 859.81
  plus kinetic    873.42   877.16   825.68    -0.75    -1.30    -2.38 858.75
  plus kinetic    874.66   877.28   827.98     0.42     0.03    -2.25 859.97
  plus kinetic    878.02   878.04   829.08    -2.62     2.30    -4.27 861.71
  plus kinetic    877.00   879.97   829.83    -2.61     1.17    -5.14 862.27
  plus kinetic    875.05   879.77   828.81    -2.13    -1.06    -2.78 861.21
  plus kinetic    876.54   878.33   827.66    -1.97     0.41     0.30 860.84
  plus kinetic    879.01   875.63   825.50    -2.71     0.58    -0.79 860.05
  plus kinetic    879.41   877.38   827.35    -2.12    -1.26    -1.14 861.38
  plus kinetic    879.12   877.04   829.71    -0.16    -1.38    -0.18 861.96
  plus kinetic    878.98   874.61   830.84     0.17    -2.27    -0.16 861.48
  plus kinetic    879.41   875.09   831.26    -1.54    -0.96    -1.26 861.92
  plus kinetic    879.64   874.35   830.83    -2.32    -1.09    -0.28 861.61
  plus kinetic    879.53   877.14   831.67    -2.40    -0.37     1.82 862.78
  plus kinetic    877.69   877.75   829.31    -4.09     0.28     2.84 861.58
  plus kinetic    876.59   878.99   828.87    -4.68    -0.54     3.05 861.48
  plus kinetic    877.58   878.33   827.68    -3.32    -0.05     1.66 861.20
  plus kinetic    877.63   878.24   825.77    -2.69     0.99     0.82 860.55
  plus kinetic    877.06   879.31   827.50    -0.98    -0.89     0.83 861.29
  plus kinetic    875.03   879.65   830.16     0.78    -0.35    -0.91 861.61
  plus kinetic    870.41   879.30   833.47     1.63    -0.25    -3.49 861.06
  plus kinetic    869.19   879.82   833.10     1.31    -0.78    -1.55 860.70
  plus kinetic    870.13   878.26   832.19     1.12     0.47    -1.32 860.19
  plus kinetic    867.04   877.44   831.90     0.52     1.36    -0.41 858.79
  plus kinetic    869.11   881.32   832.55     1.22     2.73     1.06 860.99
  plus kinetic    874.89   882.01   832.71     1.03     2.26     0.90 863.20
  plus kinetic    877.08   878.39   831.20     1.31     0.13    -1.89 862.22
  plus kinetic    876.99   875.50   831.47    -1.35    -0.38    -2.02 861.32
  plus kinetic    876.68   871.71   828.90    -1.30     0.46    -1.18 859.10
  plus kinetic    879.58   872.45   829.31    -2.05    -0.85    -1.40 860.45
  plus kinetic    876.73   875.84   832.11    -1.41    -1.64    -1.56 861.56
  plus kinetic    876.05   877.67   832.09    -1.38    -0.21    -1.41 861.94
  plus kinetic    876.47   876.44   834.25    -2.67     1.19     0.33 862.39
  plus kinetic    878.47   876.36   832.98     0.67     2.36     0.83 862.60
  plus kinetic    875.88   876.50   830.93     1.61     2.99     1.99 861.10
  plus kinetic    876.97   874.18   832.92    -0.11     3.13     1.62 861.36
  plus kinetic    879.08   874.11   831.71     0.30     1.98     1.14 861.63
  plus kinetic    879.11   877.46   829.57     2.10     0.82    -0.23 862.05
  plus kinetic    878.70   874.16   828.37     2.41    -0.08    -0.20 860.41
  plus kinetic    877.60   875.24   830.23     0.89     0.63     0.15 861.02
  plus kinetic    875.57   877.04   829.74     0.42     1.37     0.02 860.78
  plus kinetic    873.75   877.12   828.27     1.16     1.22     0.05 859.71
  plus kinetic    874.63   878.65   830.45     0.82     1.13     0.46 861.24
  plus kinetic    874.77   875.17   834.49     1.15    -1.41    -1.99 861.48
  plus kinetic    874.62   873.97   833.44    -0.26    -2.46    -2.67 860.68
  plus kinetic    873.05   877.92   831.82     0.12    -2.43    -1.64 860.93
  plus kinetic    872.80   879.71   831.95     0.79    -2.12    -2.79 861.49
  plus kinetic    874.99   879.38   830.96     2.52    -0.59    -2.31 861.78
  plus kinetic    875.14   879.03   827.79     2.07     0.14    -0.55 860.65
